base	list_count	back_count	tot_list	tot_back	P_value	Bonf_corr	FDR	Term	Entry	URL_Term	Significant
GO:0005524	65	675	449	8474	1.195125549911728e-06	0.0003704889204726357	0.00023663486	ATP binding	B6HV53;B6HND6;B6H5Z5;B6HVA2;B6GZZ5;B6H9L7;B6GXX8;B6HEM0;B6HDQ1;B6HG11;B6HU85;B6HNK2;B6H219;B6HMK8;B6GWG5;B6HKY3;B6HAI2;B6GYA7;B6HFM6;B6HKB0;B6H856;B6H992;B6GXD7;B6HR59;B6H4J4;B6H6B5;B6HAQ1;B6HH46;B6HH19;B6GZ24;B6H3S2;B6HEB0;B6GXQ3;B6HPY0;B6H276;B6HC41;B6HM37;B6GXG0;B6GZ02;B6HLJ3;B6HQ99;B6H3P1;B6HIY1;B6HJ39;B6HM77;B6H033;B6GWY8;B6HQB6;B6HTY2;B6GXX5;B6GXQ2;B6H4T6;B6HK33;B6H4Y0;B6H4M3;B6HFP3;B6HIH8;B6H0F9;B6HJS5;B6HDG7;B6HJT0;B6H3C4;B6H467;B6HSX6;B6HKP0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005524"" target=""_blank"" rel=""nofollow"">GO:0005524</a>"	T
GO:0017056	6	16	449	8474	0.00010870603776683039	0.033698871707717425	0.00975582947	structural constituent of nuclear pore	B6HPW0;B6HLB5;B6H0G8;B6HMS3;B6H8Z6;B6H3K5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0017056"" target=""_blank"" rel=""nofollow"">GO:0017056</a>"	T
GO:0003774	3	3	449	8474	0.00014781559809126527	0.04582283540829223	0.00975582947	cytoskeletal motor activity	B6HNK2;B6GXQ3;B6GXQ2	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003774"" target=""_blank"" rel=""nofollow"">GO:0003774</a>"	T
GO:0005085	8	35	449	8474	0.000386642177437053	0.11985907500548643	0.01524520501	guanyl-nucleotide exchange factor activity	B6HK25;B6HEX4;B6H8I5;B6HCF6;B6HK24;B6H4G8;B6HDP9;B6HV55	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005085"" target=""_blank"" rel=""nofollow"">GO:0005085</a>"	T
GO:0106310	4	8	449	8474	0.0004590120366009154	0.14229373134628379	0.01524520501	protein serine kinase activity	B6HV53;B6HR59;B6H4J4;B6HK33	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0106310"" target=""_blank"" rel=""nofollow"">GO:0106310</a>"	T
GO:0003729	12	74	449	8474	0.00046197590944894274	0.14321253192917224	0.01524520501	mRNA binding	B6H939;B6HI56;B6HKW0;B6HCC1;B6HL56;B6HIA3;B6H967;B6HVP9;B6H406;B6HSL3;B6HNV8;B6HF15	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003729"" target=""_blank"" rel=""nofollow"">GO:0003729</a>"	T
GO:0004100	4	9	449	8474	0.0007917391404156416	0.2454391335288489	0.02239490711	chitin synthase activity	B6H038;B6GXQ3;B6H2Y8;B6GXQ2	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004100"" target=""_blank"" rel=""nofollow"">GO:0004100</a>"	T
GO:0005096	7	31	449	8474	0.0009691532772343749	0.3004375159426562	0.02398654361	GTPase activator activity	B6HW31;B6HGK2;B6HRP8;B6H4B6;B6HME7;B6HF18;B6HS27	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005096"" target=""_blank"" rel=""nofollow"">GO:0005096</a>"	T
GO:0004674	15	118	449	8474	0.0013609396776096381	0.42189130005898784	0.02994067291	protein serine/threonine kinase activity	B6HV53;B6H5Z5;B6HJI0;B6GXX8;B6HU85;B6GXD7;B6HR59;B6H4J4;B6HAQ1;B6HC41;B6H3P1;B6HIY1;B6GWY8;B6HTY2;B6H4T6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004674"" target=""_blank"" rel=""nofollow"">GO:0004674</a>"	T
GO:0003723	24	238	449	8474	0.0017651108578999285	0.5471843659489778	0.03494919499	RNA binding	B6HS60;B6HPW0;B6HPE8;B6H3P2;B6HJ96;B6HSC6;B6HE94;B6H349;B6GZ24;B6H908;B6HM77;B6HFA5;B6HGC6;B6HNB2;B6HB95;B6HJG0;B6H9Y5;B6HCX3;B6H2V9;B6HK34;B6H0F9;B6HGU9;B6HSX6;B6H4G3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003723"" target=""_blank"" rel=""nofollow"">GO:0003723</a>"	T
GO:0004402	3	6	449	8474	0.002620603761142996	0.8123871659543287	0.03872736391	histone acetyltransferase activity	B6HTW2;B6HQ72;B6HBT9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004402"" target=""_blank"" rel=""nofollow"">GO:0004402</a>"	T
GO:0015385	3	6	449	8474	0.002620603761142996	0.8123871659543287	0.03872736391	sodium:proton antiporter activity	B6HP82;B6H0Y5;B6HAB9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015385"" target=""_blank"" rel=""nofollow"">GO:0015385</a>"	T
GO:0030332	3	6	449	8474	0.002620603761142996	0.8123871659543287	0.03872736391	cyclin binding	B6GZZ5;B6HKY3;B6HFM6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0030332"" target=""_blank"" rel=""nofollow"">GO:0030332</a>"	T
GO:0003779	4	12	449	8474	0.002738298458567114	0.8488725221558053	0.03872736391	actin binding	B6HSY0;B6H4X2;B6GVZ7;B6GXQ2	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003779"" target=""_blank"" rel=""nofollow"">GO:0003779</a>"	T
GO:0008139	3	8	449	8474	0.0067748588099238935	1.0	0.08027934576	nuclear localization sequence binding	B6HDY7;B6HPW0;B6H0G8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008139"" target=""_blank"" rel=""nofollow"">GO:0008139</a>"	F
GO:0043130	5	24	449	8474	0.00751184297203406	1.0	0.08027934576	ubiquitin binding	B6HJR3;B6HMA7;B6HC98;B6HJG8;B6HV55	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0043130"" target=""_blank"" rel=""nofollow"">GO:0043130</a>"	F
GO:0003873	2	3	449	8474	0.008109024824148494	1.0	0.08027934576	6-phosphofructo-2-kinase activity	B6HQ99;B6GXX5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003873"" target=""_blank"" rel=""nofollow"">GO:0003873</a>"	F
